time,temp_air,temp_water,humidity,ph,light,salinity,do,co2_air,set_temp_air,set_ph,set_oxygen,target_growth,target_ph,tank_vol,building_vol,growth_len,device_temp_air,device_temp_water,device_light,device_ph_injection,device_nitrogen,device_oxygen,expected_ph_duration,expected_growth,expected_harvest_time
2024-01-01T00:00:00+09:00,25.0,20.0,60.0,7.0,600.0,1.0,8.0,400.0,24.0,7.0,8.0,5.0,7.0,500.0,2500.0,50.0,0,0,0,0,1,1,30.0,2.5,2024-01-13T00:00:00+09:00
2024-01-01T00:00:30+09:00,24.88,19.99,60.04,7.02,623.18,0.97,7.97,401.8,24.08,6.98,7.91,4.92,6.96,498.04,2535.28,50.84,0,1,0,1,1,0,29.53,2.58,2024-01-12T19:12:30+09:00
2024-01-01T00:01:00+09:00,25.04,20.06,60.41,6.98,600.94,0.92,7.9,398.4,24.07,6.96,7.83,4.77,6.95,491.06,2532.79,49.9,1,1,0,1,0,0,28.63,2.59,2024-01-13T15:22:36+09:00
2024-01-01T00:01:30+09:00,24.86,19.97,59.99,7.0,578.77,0.89,7.81,406.16,24.06,6.93,7.91,4.8,6.96,481.88,2508.91,49.14,1,0,1,0,0,1,28.84,2.59,2024-01-13T12:59:06+09:00
2024-01-01T00:02:00+09:00,25.04,20.01,60.17,7.04,599.23,0.92,7.81,404.67,24.09,6.92,7.98,4.75,6.95,479.11,2478.37,50.0,0,0,0,1,1,1,29.73,2.65,2024-01-13T15:38:00+09:00
2024-01-01T00:02:30+09:00,24.98,19.96,60.22,7.07,620.52,0.97,7.9,403.17,24.08,6.94,7.92,4.76,6.94,471.2,2516.41,50.1,0,1,0,1,1,1,29.9,2.67,2024-01-14T03:09:42+09:00
2024-01-01T00:03:00+09:00,24.82,19.94,60.16,7.03,637.73,0.98,7.87,394.01,24.1,6.96,7.98,4.88,6.92,467.83,2532.02,51.07,0,1,0,0,1,0,29.94,2.71,2024-01-13T10:51:00+09:00
2024-01-01T00:03:30+09:00,24.86,20.03,59.89,7.02,643.67,1.01,7.72,397.86,24.05,6.93,8.04,4.92,6.94,459.56,2574.67,51.19,1,1,1,0,0,0,30.67,2.79,2024-01-13T03:39:30+09:00
2024-01-01T00:04:00+09:00,24.98,19.94,59.39,7.02,663.91,0.96,7.9,393.66,23.98,6.9,7.99,4.81,6.98,455.79,2578.5,51.81,1,1,0,0,1,1,30.3,2.76,2024-01-13T01:01:36+09:00
2024-01-01T00:04:30+09:00,24.97,19.96,59.03,7.0,673.63,0.91,7.89,386.68,24.02,6.92,8.05,4.65,7.01,464.54,2561.08,51.47,0,1,0,1,1,1,30.17,2.81,2024-01-12T23:06:54+09:00
